NOME_ORDENACAO;NUM_ORDENACAO;NUM_VIA;NOME/NUM_DISPOSICAO;NOME/NUM_DISPOSICAO.1;COD_FOGO;NUM_FOGO
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;CAMPINAS1798_00003;3
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;4
COMPANHIA DA ORDENANCA;1;;;;;5
COMPANHIA DA ORDENANCA;1;;;;;5
COMPANHIA DA ORDENANCA;1;;;;;5
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;6
COMPANHIA DA ORDENANCA;1;;;;;7
COMPANHIA DA ORDENANCA;1;;;;;7
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;8
COMPANHIA DA ORDENANCA;1;;DA VILA;;;9
COMPANHIA DA ORDENANCA;1;;DA VILA;;;9
COMPANHIA DA ORDENANCA;1;;DA VILA;;;9
COMPANHIA DA ORDENANCA;1;;DA VILA;;;9
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;10
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;11
COMPANHIA DA ORDENANCA;1;;DA VILA;;;12
COMPANHIA DA ORDENANCA;1;;DA VILA;;;12
COMPANHIA DA ORDENANCA;1;;DA VILA;;;12
COMPANHIA DA ORDENANCA;1;;DA VILA;;;13
COMPANHIA DA ORDENANCA;1;;DA VILA;;;13
COMPANHIA DA ORDENANCA;1;;DA VILA;;;14
COMPANHIA DA ORDENANCA;1;;DA VILA;;;14
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;15
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;16
COMPANHIA DA ORDENANCA;1;;DA VILA;;;17
COMPANHIA DA ORDENANCA;1;;DA VILA;;;17
COMPANHIA DA ORDENANCA;1;;DA VILA;;;18
COMPANHIA DA ORDENANCA;1;;DA VILA;;;18
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;19
COMPANHIA DA ORDENANCA;1;;DA VILA;;;20
COMPANHIA DA ORDENANCA;1;;DA VILA;;;20
COMPANHIA DA ORDENANCA;1;;DA VILA;;;20
COMPANHIA DA ORDENANCA;1;;DA VILA;;;20
COMPANHIA DA ORDENANCA;1;;DA VILA;;;20
COMPANHIA DA ORDENANCA;1;;DA VILA;;;21
COMPANHIA DA ORDENANCA;1;;DA VILA;;;21
COMPANHIA DA ORDENANCA;1;;DA VILA;;;21
COMPANHIA DA ORDENANCA;1;;DA VILA;;;21
COMPANHIA DA ORDENANCA;1;;DA VILA;;;21
COMPANHIA DA ORDENANCA;1;;DA VILA;;;22
COMPANHIA DA ORDENANCA;1;;DA VILA;;;22
COMPANHIA DA ORDENANCA;1;;DA VILA;;;22
COMPANHIA DA ORDENANCA;1;;DA VILA;;;22
COMPANHIA DA ORDENANCA;1;;DA VILA;;;23
COMPANHIA DA ORDENANCA;1;;DA VILA;;;23
COMPANHIA DA ORDENANCA;1;;DA VILA;;;23
COMPANHIA DA ORDENANCA;1;;DA VILA;;;23
COMPANHIA DA ORDENANCA;1;;DA VILA;;;23
COMPANHIA DA ORDENANCA;1;;DA VILA;;;24
COMPANHIA DA ORDENANCA;1;;DA VILA;;;24
COMPANHIA DA ORDENANCA;1;;DA VILA;;;25
COMPANHIA DA ORDENANCA;1;;DA VILA;;;25
COMPANHIA DA ORDENANCA;1;;DA VILA;;;26
COMPANHIA DA ORDENANCA;1;;DA VILA;;;26
COMPANHIA DA ORDENANCA;1;;DA VILA;;;26
COMPANHIA DA ORDENANCA;1;;DA VILA;;;26
COMPANHIA DA ORDENANCA;1;;DA VILA;;;27
COMPANHIA DA ORDENANCA;1;;DA VILA;;;27
COMPANHIA DA ORDENANCA;1;;DA VILA;;;28
COMPANHIA DA ORDENANCA;1;;DA VILA;;;28
COMPANHIA DA ORDENANCA;1;;DA VILA;;;28
COMPANHIA DA ORDENANCA;1;;DA VILA;;;28
COMPANHIA DA ORDENANCA;1;;DA VILA;;;29
COMPANHIA DA ORDENANCA;1;;DA VILA;;;29
COMPANHIA DA ORDENANCA;1;;DA VILA;;;29
COMPANHIA DA ORDENANCA;1;;DA VILA;;;30
COMPANHIA DA ORDENANCA;1;;DA VILA;;;30
COMPANHIA DA ORDENANCA;1;;DA VILA;;;31
COMPANHIA DA ORDENANCA;1;;DA VILA;;;31
COMPANHIA DA ORDENANCA;1;;DA VILA;;;31
COMPANHIA DA ORDENANCA;1;;DA VILA;;;31
COMPANHIA DA ORDENANCA;1;;DA VILA;;;31
COMPANHIA DA ORDENANCA;1;;DA VILA;;;32
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;33
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;34
COMPANHIA DA ORDENANCA;1;;DA VILA;;;35
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;36
COMPANHIA DA ORDENANCA;1;;DA VILA;;;37
COMPANHIA DA ORDENANCA;1;;DA VILA;;;37
COMPANHIA DA ORDENANCA;1;;DA VILA;;;37
COMPANHIA DA ORDENANCA;1;;DA VILA;;;37
COMPANHIA DA ORDENANCA;1;;DA VILA;;;37
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;38
COMPANHIA DA ORDENANCA;1;;DA VILA;;;39
COMPANHIA DA ORDENANCA;1;;DA VILA;;;39
COMPANHIA DA ORDENANCA;1;;DA VILA;;;39
COMPANHIA DA ORDENANCA;1;;DA VILA;;;39
COMPANHIA DA ORDENANCA;1;;DA VILA;;;39
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;DA VILA;;;40
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;41
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
COMPANHIA DA ORDENANCA;1;;ANHUMAS;;;42
